id	text	link_occurrences	weighted_chain_uses
861	أنا أخبرهم وهو حاضر	1	1
862	أنا بقراءتي	1	1
867	أنا في إجازته	1	1
868	أنا في كتابه	1	1
869	أنا فيما أملاه	1	1
871	أنا قراءة عليه وأنت تسمع	1	1
872	أنبأ إملاء من حفظه	1	1
873	أنبأ أو فيما أجاز لي مشافهة	1	1
874	أنبأ في كتابه	1	1
875	أنبأ قرأت عليه	1	1
876	أنبأ قراءة	1	1
878	أنبأ قراءة عليه من أصله	1	1
879	أنبأ من أصل سماعه	1	1
882	أنبأنا قراءة عليه وأنا أسمع	1	1
884	أنبأني فيما لم يقرأ عليه إجازة	1	1
903	تسأل	1	1
910	ثنا إجازة	1	1
912	ثنا إملاء في كتابه	1	1
914	ثنا إملاء من أصله العتيق وأنا سألته	1	1
916	ثنا إملاء وقراءة	1	1
918	ثنا أملاه علينا من حفظه	1	1
919	ثنا أمله علينا	1	1
920	ثنا حفظا	1	1
922	ثنا قراءة	1	1
927	ثنا من أصله	1	1
929	ثنا من كتابه ومن حفظه	1	1
930	ثنا وكتبته من أصله	1	1
940	حدثت ولا أراني إلا قد سمعته	1	1
942	حدثكم إملاء	1	1
945	حدثنا إملاء علي من كتابه	1	1
946	حدثنا إملاء علينا من كتابه	1	1
948	حدثنا إملاء من أصله	1	1
952	حدثنا إملاء وقراءة عليه من أصل كتابه	1	1
953	حدثنا أملاه علي من كتابه الأصل	1	1
958	حدثنا أو قرئ عليه	1	1
959	حدثنا حفظا ومن الكتاب	1	1
964	حدثنا من أصل كتاب أبيه	1	1
965	حدثنا من أصل كتابه لفظا	1	1
967	حدثنا من كتابه ثم محاه بعد	1	1
968	حدثنا من لفظه	1	1
969	حدثنا وأخرجه إلينا من أصل كتابه	1	1
971	حدثنا وبعضه قرأت عليه	1	1
976	حدثنا ووجدته مكتوبا عندي بخطي	1	1
977	حدثنا ووجدنا هذه الأحاديث مكتوبة بخطي عنه	1	1
978	حدثناه من أصله	1	1
979	حدثني إملاء على	1	1
980	حدثني إملاء علي	1	1
981	حدثني إملاء على من كتابه الأصل	1	1
983	حدثني أملاه علي	1	1
984	حدثني أملاه علي من حفظه	1	1
985	حدثني أملاه علينا	1	1
987	حدثني لفظا	1	1
988	حدثني من أصل كتاب	1	1
989	حدثني من أصله	1	1
991	حدثني من كتابه العتيق	1	1
993	حدثني وكتب لي بيده وقرأه علي	1	1
999	حلف لي أنه خطه بيده	1	1
1007	دفع إلي كتابا	1	1
1008	دفع إلي كتابا ولم أسمعه منه	1	1
1017	زعم لنا	1	1
1021	سأل فأخبره	1	1
1030	سمعته منه فكتبنا منه	1	1
1032	سمعته يقول وجدت في كتابي بخط يدي وتقييدي وسماعي	1	1
1045	عنه قراءة عليه	1	1
1053	فيما أجاز لي	1	1
1054	فيما قرأت عليه	1	1
1057	قال وجدت في كتاب	1	1
1060	قدم على	1	1
1067	قرئ عليه أو سماع	1	1
1075	قرئ عليه وقيل له وفي كتابك	1	1
1077	قرئ وأنا شاهد	1	1
1083	قرأت عليه أنه بلغه	1	1
1084	قرأت عليه كتابا	1	1
1085	قرأت في أصل كتابه بخطه	1	1
1086	قرأت في أصله بخطه	1	1
1088	قرأت في كتابه بخط يده ولم أسمعه منه	1	1
1093	قرأت وقرئ عليه	1	1
1094	قرأته من سماعه	1	1
1098	قراءة عليه وأنا أسمع منه	1	1
1103	قلت خذ لي كتاب	1	1
1104	قلن	1	1
1106	كان في كتاب	1	1
1108	كان يقول	1	1
1112	كتب إلي أنه حدثه	1	1
1113	كتب إليه وأنا شاهد	1	1
1115	كتب بخط يده	1	1
1116	كتب بخطه	1	1
1120	كتب وقرأته عليه وسمعته يحدث	1	1
1125	كتب يسأل	1	1
1127	كتبت إليه فكتب إلي	1	1
1129	كتبنا	1	1
1130	??	1	1
1132	??	1	1
1157	نا من كتابه	1	1
1158	نا وأملاه علينا من كتابه	1	1
1160	ناولنا في كتابه بخطه أمرنا بانتساخه ليحدثنا به	1	1
1167	وجد في كتب أو في كتاب	1	1
1168	وجدت بخطه	1	1
1170	وجدت في كتابه بخط يده	1	1
1171	وجدت في كتابه بخط يده وأكبر علمي أني قد سمعته منه	1	1
1174	وجدت في كتابي عن راو ولم أسمعه منه	1	1
1175	وجدت هذا الحديث في كتاب	1	1
1178	وجدت هذه الأحاديث في كتابه بخط يده	1	1
1192	يرويه	1	1
1194	يكتب	1	1
1199	أنه بعث	1	1
1200	عمن سمع	1	1
1201	سمعت بشار بن أبي سيف يحدث	1	1
1202	حدثناه عنك	1	1
1611	??	1	1
1816	??	1	1
2081	??	1	1
2239	??	1	1
2249	??	1	1
2591	??	1	1
2594	??	1	1
2609	??	1	1
2636	??	1	1
2837	??	1	1
3098	??	1	1
3160	??	1	1
3320	??	1	1
3441	??	1	1
3562	??	1	1
3732	??	1	1
3834	??	1	1
3987	??	1	1
4035	??	1	1
4152	??	1	1
4385	??	1	1
4598	??	1	1
4744	??	1	1
4842	??	1	1
5093	??	1	1
5183	??	1	1
5754	??	1	1
5877	??	1	1
5974	??	1	1
5983	??	1	1
6006	??	1	1
6106	??	1	1
6385	??	1	1
6401	??	1	1
6513	??	1	1
7156	??	1	1
7179	??	1	1
7963	??	1	1
8830	??	1	1
11157	??	1	1
11590	??	1	1
12878	??	1	1
12925	??	1	1
13172	??	1	1
15079	??	1	1
16490	??	1	1
16703	??	1	1
16754	??	1	1
18519	??	1	1
20873	??	1	1
100081	??	1	1
103146	??	1	1
1851	??	2	0
5577	??	2	0
2533	??	1	0
